file_number,label,global_root,candidate_package,candidate_prefix,method,confidence,notes
355.99,MASTER TYPE OF PLAN,"^IBEMTOP(355.99,",INTEGRATED BILLING,IB,prefix,med,ns=IBEMTOP matched prefix=IB
356.001,X12 278 REQUEST CATEGORY,"^IBT(356.001,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.002,X12 278 CERTIFICATION TYPE CODE,"^IBT(356.002,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.003,X12 278 CURRENT HEALTH CONDITION CODE,"^IBT(356.003,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.004,X12 278 PROGNOSIS CODE,"^IBT(356.004,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.005,X12 278 DELAY REASON CODE,"^IBT(356.005,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.006,X12 278 DIAGNOSIS TYPE,"^IBT(356.006,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.007,X12 278 DELIVERY PATTERN TIME CODE,"^IBT(356.007,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.008,X12 278 CONDITION CODE,"^IBT(356.008,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.009,X12 278 ADMISSION SOURCE,"^IBT(356.009,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.01,X12 278 PATIENT STATUS,"^IBT(356.01,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.011,X12 278 NURSING HOME RESIDENTIAL STATUS,"^IBT(356.011,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.012,X12 278 SUBLUXATION LEVEL CODE,"^IBT(356.012,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.013,X12 278 OXYGEN EQUIPMENT TYPE,"^IBT(356.013,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.014,X12 278 OXYGEN TEST CONDITION,"^IBT(356.014,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.015,X12 278 OXYGEN TEST FINDINGS,"^IBT(356.015,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.016,X12 278 OXYGEN DELIVERY SYSTEM CODE,"^IBT(356.016,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.017,X12 278 PATIENT LOCATION,"^IBT(356.017,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.018,X12 278 REPORT TYPE CODE,"^IBT(356.018,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.019,X12 278 NURSING HOME LEVEL OF CARE,"^IBT(356.019,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.02,X12 278 CERTIFICATION ACTION CODES,"^IBT(356.02,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.021,X12 278 HCS DECISION REASON CODES,"^IBT(356.021,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.022,X12 278 DENTAL NUMBERING SYSTEM,"^IBT(356.022,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.023,HCSR WORKLIST DELETE REASON CODE,"^IBT(356.023,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.22,HCS REVIEW TRANSMISSION,"^IBT(356.22,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.25,CLAIMS TRACKING ROI,"^IBT(356.25,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
