package_name,prefix,version,file_count
MCEI,MCE,Clean-up Hematology,0
MCFI,MCF,MC*2*26 Holter report fix,0
MCXX,MCXX,Updates to the PTF file,0
MDRO INITIATIVE REPORTS,MMRS,MRSA PREVENTION INITIATIVE,0
MEDICAL HEALTH ESCREENING,MHE,MEDICAL HEALTH ESCREENING APPLICATION PROXY,0
MEDICAL RECORD TRACKING,DT,,0
MEDICINE,MC,MEDICINE PACKAGE INCLUDES ALL AREAS OF MEDICINE,15
MEDICINE-2,MC2,PART 2 OF MEDICINE PACKAGE,18
MEDICINE-LAB DATA,MCL,SUBPIECE OF MEDICINE INCL. LAB INFO,0
MEDICINE/CARDIOLOGY,MCAR,Cardiology/Medical Package,35
MENTAL HEALTH,YS,Version 5.01 of Mental Health,25
MENU DRIVER,XQ,"MENU SYSTEM FOR KERNEL (""FLAT"" OPTION FILE)",2
MICOM,CUAA,MICOM SOFTWARE,0
MINIMAL PATIENT DATASET,VAM,MPD,0
MKUTL,MK,TRANSPORT,0
MSM CAPACITY MANAGEMENT,XUCS,CAP. MANAGEMENT - MSM,2
My HealtheVet,MHV,Support for My HealtheVet web site.,0
NATIONAL DRUG FILE,PSN,This is the National Drug File Package V 3.14,9
NATIONAL HEALTH INFO NETWORK,NHIN,NATIONAL HEALTH INFORMATION NETWORK ADAPTER,0
NATIONAL LABORATORY TEST,NLT,National Laboratory Test file of terms.,0
NDBI,A7R,Software to support integrated sites.,0
NETWORK HEALTH EXCHANGE,AFJX,Requests Total and Pharmacy Health Summary Data,4
NEW PERSON,A4A7,,0
NEW PERSON .01 UPDATE,A6K7,,0
NOIS,FSC,Problem Tracking,0
NUCLEAR MEDICINE,NM,,0
NURSING ADMINISTRATION,NURA,NURSING ADMINISTRATION,14
NURSING CLINICAL,NURC,NURSING CLINICAL,1
NURSING EDUCATION,NURE,NURSING EDUCATION,0
NURSING FIXES,NURX,Fixes to current Nursing release,1
NURSING QA,NURQ,"NURSING,QUALITY ASSURANCE 10 STEP EDIT AND PRINT",4
NURSING SERVICE,NUR,Nursing Service General Module,11
NUTRITION,NU,LUSHENE,0
Nursing Patches,NURX,Patches for Nursing,0
OCCURRENCE SCREEN,QAO,OCCURRENCE SCREENING VERSION 3.0,14
OCOLOGY PATCH ONC*2.11*1,ONCZ,This patch will make Oncology compliant with ROADS 96.,0
OFFICE AUTOMATION,OA,Office Automation Package,0
OFFICE OF INSPECTOR GENERAL,IGZ,IG PRINT TEMPLATES,0
OKC PATIENT LOOKUP,UP,OKC,0
OKC SYSTEM MANAGMENT,UT,,0
OKC TASK-MANAGER QUEUEING,UQ,,0
OKC USER ACCESS,US,OKC,0
ONC*2*4 PATCH INITS,ONC4,ROUTINES FOR ACOS CALL FOR DATA,0
ONC2,ONC2,ONCOLOGY V2 PATCH 2,0
ONCOLOGY,ONC,Oncology treatment tracking & tumor registry package.,27
ONCOLOGY V2-PATCH,ONC1,PATCH for ONCOLOGY V2,0
OP PHARMACY WITH VA CLASS,PSOC,Partial release to install VA Class,0
OPERATION DESERT SHIELD,A1B2,ODS Patient Locator System (local),10
OPERATION LOG (SURGERY),SG,,0
ORDER ENTRY/RESULTS REPORTING,OR,Order Entry/Results Reporting,16
OS-OPENM,OSI,This is a place-holder for OpenM information patches,0
OUTPATIENT PATCH (PSO*6*126),PSOY,One Year Life of Prescription Enhancement,0
OUTPATIENT PATCH (PSO*6*136),PSOB,This is for patch PSO*6*136,0
OUTPATIENT PATCH (PSO*6*137),PSOG,Inits for input and print templates for CMOP.,0
OUTPATIENT PATCH (PSO*6*148),PSOC,PSO*6*148,0
OUTPATIENT PATCH (PSO*6*15),PSOD,This namespace is used to install patch PS*6*15.,0
OUTPATIENT PATCH (PSO*6*22),PSOA,Patient charges for window rxs,0
OUTPATIENT PATCH (PSO*6*35),PSOL,ENHANCEMENT PATCH,0
OUTPATIENT PHARMACY,PSO,"OUTPATIENT LABELS, PROFILE, INVENTORY, PRESCRIPTIONS",15
"OUTPATIENT PHARMACY 4"" LABEL",PSL,THIS RELEASE CONTAINS THE PATCH FOR THE 4 INCH LABEL,0
OUTPATIENT PHARMACY ARCHIVING,PSOA,,1
PACEMAKER FOLLOWUP,PC,,0
PAID,PRS,PAID,30
PAID MINI-INIT,PRS1,Routines to modify File 450.,0
PAID MINI-INIT (2),PRS2,Output transform modification,0
PAID MINI-INIT (3),PRS3,FLSA Changes,0
PATCH DG*5.3*45,DGYR,PATCH DG*5.3*45,0
PATCH IB*2*22,IBY9,Patch for encounter form utility bugs.,0
PATCH PRC*3.5*74,PRYF,AMIS SEG & REPORTS,0
PATIENT ADDRESS COLLECTION,A1BG,Used to collect patient address information.,0
PATIENT ASSESSMENT DOCUM,NUPA,Nursing Admission Assessment,0
PATIENT DATA EXCHANGE,VAQ,Module used to manage patient information exchange,18
PATIENT FEEDBACK,A4A8,Patient Feedback,0
PATIENT FILE,DPT,FILE 2,5
PATIENT FUNDS ACCOUNTING,PF,"REPLACES LEDGER CARDS, ETC",0
PATIENT FUNDS FOR V5,PRPX,PATIENT FUNDS UPDATE FOR V 5 OF MAS,0
PATIENT FUNDS PATCH,ZPRP,INITS FOR PATIENT FUNDS PATCH,0
PATIENT REPRESENTATIVE,QAC,PATIENT REPRESENTATIVE PACKAGE,0
PATIENT TEXT,PTX,"PATIENT TEXT, PROGRESS NOTES, ETC",0
PATIENT VISIT,PV,,0
PATIENT WRISTBAND,DGPW,PATIENT WRISTBAND SOFTWARE,0
PCE PATIENT CARE ENCOUNTER,PX,Patient Care Encounter,0
PHARMACY,PS,"OUTPATIENT LABELS, PROFILE, INVENTORY, PRESCRIPTIONS",15
PHARMACY BENEFITS MANAGEMENT,PSU,PHARMACY BENEFITS MANAGEMENT,0
PHARMACY DATA MANAGEMENT,PSS,Maintenance of Pharmacy files.,0
PHARMACY PRESCRIPTION PRACTICE,PPP,3P,0
PIMS V5.3 PRE-PACKET,DGYP,Options necessary to prepare for installation of PIMS v5.3.,0
POLICE & SECURITY,ES,POLICE & SECURITY PACKAGE,17
PPP PATCH,PPPA,Patch for consolidated sites.,0
PRC*3.5*61,PRYE,PRC*3.5*61,0
PRMR,PRMR,,0
PROBLEM LIST,GMPL,Automated Patient Problem List,7
PROGRESS NOTES,GMRP,Progress Notes,0
PROSTHETICS,RMPR,PROSTHETICS VERSION 3.0 ALPHA,23
PRS PATCH 6,PRSX,Patches for Paid,0
PRSE FIXES,PRSX,Patches for Employee Education Tracking Module.,0
PRXF,PRXF,Input Templates for 410,0
PRXI,PRXI,'OVERAGE REPORT' SORT AND PRINT TEMPLATES,0
PRXJ,PRXJ,FOOD GROUP X-REF UPDATING,0
PRXK,PRXK,GIP Patch PRC*5*38,0
PRXP,PRXP,  ,0
PRYG,PRYG,Patch PRCA*4*17,0
PRYH,PRYH,Print template inits for PRCA*4.5*12,0
PRYY,PRYY,AR V3.7 CALM FUND CONVERSION,0
PSD2,PSD2,CS Green Sheet Patch,0
PSIU,PSIU,SETS UP `APPLICATION PACKAGES' FIELD IN DRUG FILE.,0
PSJ1 (PSJ*4.5*3),PSJ1,Used to export PSJ*4.5*3,0
PSOE (PSO*6*74),PSOE,Patch PSO*6*74,0
PSOH,PSOH,PSO*6*138 DD update,0
PSOJ,PSOJ,PATCH PSO*6*145 QTY FIELD MODIFICATION,0
PSOL,PSOL,MODS FOR CLOZARIL,0
PSW1 (PSGW*2.3*3),PSW1,PSGW*2.3*3,0
PSYCHODIAGNOSTICS,YT,PSYCHODIAGNOSTIC PROGRAMS,0
PTF/DRG,IC,,1
Problem List,GMP1,For use with GMP*2*3 (Problem List Allocation Errors),0
Progress Notes,GMN5,FOR USE W/GMRP*2.5*42 REQ COSIG ENHANCEMENT,0
QAN-PATCH QAN*2*23,QANY,Init for patch 23.,0
QAR NATIONAL SERVICE,QAR2,INIT FOR FILE #730(NATIONAL SERVICE),0
QAR NEW PERSON PARTIAL,QAR1,THE PARTIAL INIT FOR FILE #200 (NEW PERSON),0
QARY,QARY,Modify template & Foreign file entries,0
QUALITY ASSURANCE INTEGRATION,QAQ,UTILITIES USED IN ALL QUALITY ASSURANCE MODULES,1
QUALITY IMPROVEMENT CHECKLIST,QIP,Quality Improvement Checklist and Process,0
QUASAR,ACKQ,Quality: Audiology and Speech Pathology Audit and Review,0
RAAC,RAAC,Third patch init for version 4 of radiology,0
RADIATION SAFETY,RS,,0
RADIOLOGY PATCH 23,RAAE,Convert REQUESTING PHYSICIAN fields to File 200,0
RADIOLOGY PATCH INIT2,RAAB,TEMPORARY ENTRY FOR PATCH,0
RADIOLOGY PATCH INIT4,RAAD,RADIOLOGY PATCH INIT #4,0
RADIOLOGY PATCH18 INIT,RAAF,File 70 DD changes,0
RADIOLOGY/NUCLEAR MEDICINE,RA,"REGISTERS PATIENTS,RECORDS EXAMS,PROFILES,AMIS REPORTS",24
REAL TIME LOCATION SYSTEM,VIAA,REAL TIME LOCATION SYSTEM,0
RECORD TRACKING,RT,Medical Records and Film Jacket Tracking,13
RECORD TRACKING SORT GLOBAL,RTY,File 194.3 to replace sort global,1
REGISTRATION,DG,"PATIENT REGISTRATION, ADMISSION, DISCHARGE, EMBOSSER ",89
REHAB MEDICINE,RM,,0
RELEASE OF INFORMATION - DSSI,DSIR,RELEASE OF INFORMATION - DSSI,0
REMOTE ORDER/ENTRY SYSTEM,RMPF,Remote Order/Entry System,14
RMPJ,RMPJ,RMPF*1.1*9,0
RMPS,RMPS,Prosthetics Version 1.5 Patch #4 Multi Divisonal sites.,1
ROES PATCH RMPF*1.1*6,RMPC,U...,0
RPC BROKER,XWB,Remote Procedure Call Broker,0
RT PATCH 23,RTYD,PATCH RT*2*23,0
RTYC INIT FOR RT*2*22,RTYC,Per patch RT*2*22,0
RUN TIME LIBRARY,RGUT,RUN TIME LIBRARY,0
RURAL HEALTH,RH,,0
SAGG PROJECT,KMPS,,0
SCHEDULING,SD,"APPOINTMENTS,PROFILES,LETTERS,AMIS REPORTS",22
SCHEDULING CALENDAR VIEW,MBAA,Mobile Application for Scheduling Calendar View,0
SCHEDULING MAINTENANCE 10/1/94,SDYM,Maintenance Update,0
